Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-10-01 08:54 (PST),On Demand,Rad Lopez,20,Strength,Upper Body,20 min Upper Body Strength,2021-10-01 07:00 (PST),,,,,,,56,,,
2021-10-13 09:19 (PST),On Demand,Daniel McKenna,20,Strength,Lower Body,20 min Glutes & Legs Strength,2021-10-09 10:33 (PST),,,,,,,102,,,
2021-10-16 08:49 (PST),On Demand,Ben Alldis,15,Strength,Upper Body,15 min Chest & Back Strength,2021-10-14 00:24 (PST),,,,,,,36,,,
2021-10-22 09:30 (PST),On Demand,Callie Gullickson,10,Strength,Core,10 min Core Strength,2021-10-19 07:00 (PST),,,,,,,54,,,
2021-10-25 08:12 (PST),On Demand,Callie Gullickson,20,Strength,Core,20 min Core Strength,2021-10-23 06:20 (PST),,,,,,,109,,,
2021-10-29 08:46 (PST),On Demand,Ben Alldis,10,Strength,Bodyweight,10 min Bodyweight Strength,2021-10-28 00:25 (PST),,,,,,,55,,,
2021-11-01 21:14 (-07),On Demand,Bradley Rose,20,Cycling,Theme,20 min Halloween Ride,2021-10-30 02:24 (-07),164,136,44%,80,17.65,5.89,240,,,
2021-11-02 21:44 (-07),On Demand,Sam Yo,20,Cycling,Music,20 min AFO Ride: Imagine Dragons,2021-07-02 05:00 (-07),248,207,56%,71,21.13,7.04,363,,,
2021-11-03 21:24 (PST),On Demand,Matt Wilpers,30,Running,Music,30 min Pop Run,2021-10-29 08:00 (PST),,,,,,,375,,,
2021-11-03 21:57 (PST),On Demand,Jon Hosking,10,Stretching,Pre & Post-Run Stretch,10 min Post-Run Stretch,2021-10-23 05:25 (PST),,,,,,,27,,,
2021-11-04 21:11 (-07),On Demand,Bradley Rose,30,Cycling,Music,30 min Indie Rock Ride,2021-09-23 11:55 (-07),274,152,47%,76,18.78,9.39,401,,,
2021-11-04 21:46 (-07),On Demand,Denis Morton,5,Meditation,Breathwork,5 min Breathwork: Box Breath,2021-10-01 07:00 (-07),,,,,,,,,,
2021-11-08 21:57 (-08),On Demand,Camila Ramon,10,Cycling,Climb,10 min Climb Ride,2021-10-31 07:00 (-08),153,254,66%,64,23.09,3.85,224,,,
2021-11-08 22:09 (-08),On Demand,Cody Rigsby,5,Meditation,Relax & Sleep,5 min Calming Meditation,2021-11-05 06:00 (-08),,,,,,,,,,
2021-11-09 21:49 (-08),On Demand,Olivia Amato,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-11-08 04:23 (-08),312,173,53%,71,19.43,9.71,456,,,
2021-11-09 22:21 (-08),On Demand,Ross Rayburn,5,Meditation,Relax & Sleep,5 min Relaxing Meditation,2021-11-06 07:38 (-08),,,,,,,,,,
2021-11-12 21:16 (-08),On Demand,Denis Morton,10,Cycling,Climb,10 min Climb Ride,2021-10-20 06:07 (-08),114,189,47%,88,20.36,3.40,166,,,
2021-11-12 21:32 (-08),On Demand,Aditi Shah,10,Meditation,Mindfulness,10 min Flow & Let Go Meditation,2021-11-11 15:37 (-08),,,,,,,,,,
2021-11-15 21:23 (-08),On Demand,Emma Lovewell,20,Cycling,Music,20 min Rock Ride,2019-04-23 06:51 (-08),256,213,51%,82,21.08,7.03,375,,,
2021-11-15 21:45 (-08),On Demand,Kirra Michel,10,Meditation,Emotions,10 min Patience Meditation,2021-11-15 07:00 (-08),,,,,,,,,,
2021-11-16 21:15 (-08),Live,Emma Lovewell,20,Cycling,Music,20 min Hip Hop Ride,2021-11-11 06:55 (-08),256,213,55%,76,21.30,7.10,374,,,
2021-11-16 21:38 (-08),On Demand,Anna Greenberg,10,Meditation,Emotions,10 min Peace Meditation,2021-11-15 09:39 (-08),,,,,,,,,,
